=== Tier 1 (345) ===
name                  L10   L15   L20   L25   L30   L35
Bastiodon             392   589   785   981   1178  1276
Wormadam (Plant)      459   689   919   1149  1379  1494
Wormadam (Trash)      410   615   821   1026  1231  1334
Mothim                469   704   939   1174  1409  1526
Vespiquen             522   784   1045  1306  1568  1699
Floatzel              640   961   1281  1602  1922  2082
Cherrim (Overcast)    534   801   1069  1336  1603  1737
Gastrodon (East_sea)  609   914   1218  1523  1828  1980
Ambipom               635   953   1270  1588  1906  2064
Drifblim              622   933   1244  1555  1866  2022
Lopunny               537   806   1075  1344  1613  1747
Mismagius             689   1034  1379  1724  2069  2241
Honchkrow             712   1069  1425  1781  2138  2316
Purugly               508   762   1016  1271  1525  1652
Skuntank              618   928   1237  1546  1856  2010
Bronzong              586   879   1173  1466  1759  1906
Lucario               713   1069  1425  1782  2138  2317
Hippowdon             819   1228  1638  2048  2457  2662
Drapion               645   968   1290  1613  1936  2097
Toxicroak             654   981   1308  1635  1962  2126
Lumineon              470   705   941   1176  1411  1529
Abomasnow             620   930   1240  1550  1861  2016
Weavile               796   1194  1592  1990  2389  2588
Lickilicky            648   973   1297  1621  1946  2108
Tangrowth             804   1205  1607  2009  2411  2612
Yanmega               780   1170  1560  1950  2340  2535
Leafeon               780   1170  1559  1950  2340  2535
Glaceon               830   1245  1659  2075  2490  2697
Gliscor               711   1066  1421  1777  2132  2310
Probopass             541   812   1083  1354  1624  1760
Froslass              532   798   1064  1331  1597  1730
Watchog               472   708   944   1180  1416  1534
Liepard               478   717   956   1196  1435  1554
Simisage              616   925   1233  1541  1850  2004
Simisear              616   925   1233  1541  1850  2004
Simipour              616   925   1233  1541  1850  2004
Musharna              719   1078  1438  1797  2157  2337
Zebstrika             638   956   1275  1594  1913  2073
Swoobat               444   665   887   1109  1331  1442
Excadrill             860   1290  1720  2150  2581  2796
Whimsicott            525   788   1050  1313  1576  1707
Lilligant             671   1007  1343  1678  2014  2182
Darmanitan            821   1231  1642  2052  2463  2668
(Galarian_standard)
Crustle               670   1004  1339  1674  2009  2177
Scrafty               598   897   1197  1496  1795  1945
Cofagrigus            595   893   1191  1489  1787  1935
Carracosta            691   1037  1383  1729  2075  2248
Archeops              884   1326  1767  2210  2652  2873
Garbodor              615   923   1231  1539  1847  2001
Zoroark (Hisuian)     687   1031  1374  1718  2062  2233
Zoroark               675   1013  1351  1689  2027  2196
Cinccino              587   880   1174  1467  1761  1908
Swanna                545   817   1090  1363  1635  1771
Sawsbuck (Autumn)     635   952   1270  1587  1905  2064
Escavalier            765   1147  1529  1912  2294  2485
Amoonguss             559   838   1117  1397  1676  1816
Jellicent             613   920   1227  1534  1841  1994
Galvantula            577   865   1153  1442  1731  1875
Ferrothorn            609   913   1217  1522  1827  1979
Beheeyem              727   1091  1454  1818  2182  2364
Beartic               806   1209  1612  2016  2419  2621
Accelgor              640   961   1281  1601  1922  2082
Mienshao              713   1070  1427  1784  2141  2319
Golurk                755   1132  1509  1887  2265  2453
Braviary              819   1228  1638  2047  2457  2662
Mandibuzz             557   836   1115  1394  1672  1812
Volcarona             969   1454  1938  2423  2908  3150
Diggersby             387   580   773   967   1161  1257
Pyroar                731   1096  1462  1827  2193  2376
Gogoat                739   1108  1477  1847  2217  2401
Pangoro               768   1152  1535  1920  2304  2496
Meowstic              555   833   1110  1388  1666  1805
Aromatisse            614   921   1228  1535  1843  1996
Slurpuff              576   863   1151  1439  1727  1871
Malamar               619   929   1239  1548  1858  2013
Barbaracle            706   1059  1412  1766  2119  2296
Dragalge              626   939   1252  1565  1878  2035
Clawitzer             730   1095  1460  1825  2191  2373
Heliolisk             685   1028  1370  1713  2056  2227
Tyrantrum             831   1246  1661  2077  2493  2700
Aurorus               740   1110  1481  1851  2221  2407
Sylveon               815   1222  1629  2037  2444  2648
Trevenant             674   1011  1348  1685  2023  2191
Gourgeist (Average)   628   942   1256  1570  1884  2041
Gourgeist (Large)     664   996   1328  1660  1992  2158
Gourgeist (Small)     590   886   1181  1476  1772  1919
Gourgeist (Super)     694   1042  1389  1736  2084  2258
Avalugg               850   1275  1700  2125  2550  2763
Noivern               730   1096  1461  1826  2192  2374
Gumshoos              570   856   1141  1426  1712  1854
Crabominable          769   1153  1537  1922  2306  2498
Ribombee              576   863   1151  1439  1727  1871
Lycanroc (Dusk)       712   1068  1424  1781  2137  2315
Lycanroc (Midday)     706   1059  1412  1765  2118  2294
Lycanroc (Midnight)   725   1087  1449  1812  2174  2355
Toxapex               433   650   867   1083  1300  1409
Mudsdale              808   1212  1616  2020  2424  2626
Araquanid             473   710   946   1183  1420  1538
Lurantis              630   945   1260  1575  1891  2048
Shiinotic             483   725   967   1209  1451  1572
Salazzle              651   976   1302  1627  1953  2116
Bewear                826   1239  1653  2066  2479  2686
Golisopod             840   1260  1680  2100  2521  2731
Palossand             643   964   1285  1607  1928  2089
Silvally              782   1173  1564  1955  2346  2542
Naganadel             842   1263  1684  2105  2526  2736
Melmetal              961   1441  1921  2401  2882  3122
Greedent              621   932   1243  1554  1865  2020
Thievul               559   838   1117  1397  1676  1816
Eldegoss              519   779   1039  1299  1559  1689
Dubwool               573   860   1147  1434  1721  1864
Drednaw               751   1126  1501  1877  2253  2440
Boltund               569   853   1137  1422  1706  1849
Flapple               648   972   1296  1620  1945  2107
Appletun              644   966   1288  1610  1933  2094
Sandaconda            738   1107  1476  1845  2214  2398
Barraskewda           699   1048  1397  1747  2096  2271
Toxtricity (Amped)    685   1027  1370  1713  2055  2227
Centiskorch           792   1188  1585  1981  2377  2575
Grapploct             703   1055  1406  1758  2110  2285
Polteageist           811   1216  1621  2027  2432  2635
(Antique)
Perrserker            627   940   1253  1567  1880  2037
(Galarian)
Cursola               812   1217  1623  2029  2435  2638
Sirfetch’d            790   1186  1581  1976  2372  2569
(Galarian)
Runerigus (Galarian)  595   893   1191  1489  1787  1935
Alcremie              708   1062  1416  1770  2124  2301
Frosmoth              720   1080  1440  1800  2160  2340
Copperajah            788   1181  1575  1969  2363  2560
Urshifu               962   1443  1924  2405  2887  3127
(Rapid_strike)
Sneasler              856   1283  1711  2139  2567  2781
Overqwil              780   1171  1561  1951  2342  2537
Oinkologne (Female)   656   983   1311  1639  1967  2131
Oinkologne            687   1031  1374  1718  2062  2234
Spidops               436   654   872   1090  1308  1417
Lokix                 607   911   1215  1519  1823  1975
Maushold              517   776   1034  1293  1552  1681
(Family_of_four)
Dachsbun              547   821   1095  1368  1642  1779
Armarouge             853   1279  1706  2133  2559  2773
Ceruledge             842   1264  1685  2106  2528  2738
Bellibolt             702   1053  1405  1756  2107  2283
Kilowattrel           641   962   1283  1604  1925  2085
Mabosstiff            785   1177  1570  1963  2355  2552
Grafaiai              593   890   1186  1483  1780  1928
Brambleghast          637   956   1274  1593  1912  2071
Toedscruel            637   955   1273  1592  1910  2069
Scovillain            607   911   1214  1518  1822  1973
Rabsca                692   1038  1384  1730  2076  2249
Espathra              651   976   1301  1627  1952  2115
Wugtrio               491   737   982   1228  1474  1597
Revavroom             782   1173  1563  1954  2346  2541
Glimmora              870   1305  1740  2176  2611  2828
Houndstone            662   993   1324  1655  1986  2152
Cetitan               823   1234  1646  2057  2469  2675
Clodsire              506   759   1013  1266  1519  1646
Dudunsparce (Three)   723   1084  1446  1807  2169  2349
Sinistcha             783   1175  1567  1959  2351  2547
(Masterpiece)

=== No Evolution Line (261) ===
name                  L10   L15   L20   L25   L30   L35
Raichu (Alola)        599   899   1198  1498  1798  1948
Farfetch’d            314   471   628   785   942   1020
Exeggutor (Alola)     799   1198  1597  1997  2396  2596
Kangaskhan            681   1022  1363  1704  2045  2215
Pinsir                783   1175  1567  1959  2351  2547
Tauros                691   1037  1382  1728  2074  2247
Tauros (Paldea_aqua)  751   1126  1501  1877  2252  2440
Lapras                696   1043  1391  1739  2087  2261
Ditto                 205   308   411   513   616   668
Aerodactyl            735   1103  1471  1839  2207  2391
Articuno (Galarian)   958   1437  1916  2395  2874  3114
Articuno              810   1214  1619  2024  2429  2631
Zapdos (Galarian)     946   1419  1893  2366  2839  3076
Zapdos                940   1410  1880  2351  2821  3056
Moltres (Galarian)    841   1262  1683  2104  2525  2735
Moltres               923   1385  1846  2308  2770  3001
Mewtwo (A)            846   1269  1692  2116  2539  2751
Mewtwo                1120  1679  2239  2799  3359  3638
Mew                   869   1303  1737  2172  2606  2823
Typhlosion (Hisuian)  793   1190  1586  1983  2380  2578
Unown (A)             300   449   599   749   899   974
Girafarig             534   800   1067  1334  1601  1735
Qwilfish              535   802   1070  1337  1605  1739
Shuckle               82    123   164   206   247   268
Heracross             823   1234  1646  2058  2469  2675
Corsola               352   528   704   880   1056  1144
Delibird              275   413   551   689   827   895
Skarmory              550   825   1100  1376  1651  1789
Stantler              566   848   1131  1414  1697  1839
Smeargle              98    147   196   246   295   319
Miltank               618   927   1236  1545  1854  2008
Raikou                920   1380  1840  2300  2760  2990
Entei                 925   1388  1850  2313  2776  3007
Suicune               790   1186  1581  1976  2372  2569
Lugia                 988   1482  1976  2471  2965  3212
Ho-Oh                 1034  1550  2067  2584  3101  3360
Celebi                869   1303  1737  2172  2606  2823
Shedinja              72    108   144   180   216   234
Sableye               379   568   757   947   1137  1231
Mawile                422   633   844   1055  1266  1371
Plusle                461   691   921   1152  1382  1497
Minun                 438   657   876   1095  1314  1424
Volbeat               459   688   918   1147  1377  1491
Illumise              459   688   918   1147  1377  1491
Torkoal               546   820   1093  1366  1640  1776
Spinda (00)           309   464   619   774   929   1006
Zangoose              634   951   1268  1586  1903  2062
Seviper               549   824   1098  1373  1648  1785
Lunatone              611   916   1221  1527  1832  1985
Solrock               611   916   1221  1527  1832  1985
Castform              421   631   842   1052  1263  1368
Kecleon               534   801   1068  1335  1602  1736
Tropius               504   756   1009  1261  1513  1639
Absol                 663   995   1326  1658  1990  2156
Relicanth             665   998   1331  1664  1997  2163
Luvdisc               209   314   419   524   628   681
Regirock              828   1242  1656  2070  2484  2691
Regice                828   1242  1656  2070  2484  2691
Registeel             642   963   1283  1605  1926  2086
Latias                936   1404  1872  2340  2808  3042
Latios                1019  1529  2038  2548  3058  3312
Kyogre                1103  1655  2206  2758  3310  3585
Groudon               1103  1655  2206  2758  3310  3585
Rayquaza              1025  1537  2049  2561  3074  3330
Jirachi               869   1303  1737  2172  2606  2823
Deoxys (Attack)       656   984   1312  1640  1969  2133
Deoxys (Defense)      593   890   1187  1484  1780  1929
Deoxys                832   1248  1665  2081  2497  2705
Deoxys (Speed)        761   1141  1522  1903  2283  2474
Pachirisu             307   460   613   767   920   997
Chatot                462   694   925   1156  1388  1503
Spiritomb             541   811   1081  1352  1622  1758
Carnivine             564   846   1129  1411  1693  1835
Rotom (Fan)           679   1018  1358  1698  2037  2207
Rotom                 529   794   1059  1324  1589  1721
Uxie                  663   995   1327  1659  1991  2157
Mesprit               811   1217  1623  2029  2435  2638
Azelf                 852   1277  1703  2129  2555  2768
Dialga                1082  1622  2163  2704  3245  3516
Dialga (Origin)       1096  1644  2192  2740  3288  3562
Palkia                1068  1602  2136  2670  3205  3472
Palkia (Origin)       1110  1665  2220  2775  3330  3608
Heatran               1003  1505  2007  2509  3011  3261
Regigigas             1167  1750  2333  2917  3501  3792
Giratina (Altered)    899   1349  1798  2248  2698  2923
Giratina (Origin)     983   1475  1967  2459  2951  3197
Cresselia             754   1132  1509  1886  2264  2452
Phione                550   825   1100  1375  1650  1788
Manaphy               869   1303  1737  2172  2606  2823
Darkrai               998   1497  1996  2495  2994  3244
Shaymin (Land)        869   1303  1737  2172  2606  2823
Shaymin (Sky)         958   1437  1916  2395  2874  3113
Arceus                1069  1603  2137  2672  3207  3474
Victini               869   1303  1737  2172  2606  2823
Samurott (Hisuian)    740   1111  1481  1851  2222  2407
Audino                433   650   866   1083  1300  1408
Throh                 674   1011  1348  1686  2023  2192
Sawk                  736   1104  1473  1841  2209  2394
Lilligant (Hisuian)   661   992   1322  1653  1984  2149
Basculin              545   818   1091  1364  1637  1773
(Blue_striped)
Darmanitan            1040  1560  2080  2600  3120  3380
(Galarian_zen)
Darmanitan (Zen)      999   1498  1998  2497  2997  3247
Maractus              595   893   1191  1489  1787  1936
Sigilyph              672   1007  1343  1679  2015  2183
Emolga                421   632   843   1054  1264  1370
Alomomola             564   846   1129  1411  1693  1834
Cryogonal             740   1110  1480  1850  2220  2405
Stunfisk              565   847   1129  1412  1695  1836
Druddigon             722   1082  1443  1804  2165  2346
Bouffalant            740   1110  1480  1850  2220  2405
Braviary (Hisuian)    743   1115  1486  1858  2230  2416
Heatmor               628   943   1257  1571  1886  2043
Durant                701   1052  1403  1754  2105  2280
Cobalion              802   1202  1603  2004  2405  2605
Terrakion             988   1481  1975  2469  2963  3210
Virizion              802   1202  1603  2004  2405  2605
Tornadus (Incarnate)  889   1334  1779  2224  2668  2891
Tornadus (Therian)    854   1282  1709  2136  2564  2777
Thundurus             889   1334  1779  2224  2668  2891
(Incarnate)
Thundurus (Therian)   975   1463  1950  2438  2926  3170
Reshiram              1082  1622  2163  2704  3245  3516
Zekrom                1082  1622  2163  2704  3245  3516
Landorus (Incarnate)  957   1436  1914  2393  2872  3111
Landorus (Therian)    1049  1573  2097  2622  3146  3409
Kyurem (Black)        1238  1856  2475  3094  3713  4022
Kyurem                953   1430  1906  2383  2860  3098
Keldeo (Ordinary)     988   1481  1975  2469  2963  3210
Meloetta (Aria)       1064  1596  2127  2660  3192  3458
Meloetta (Pirouette)  1047  1571  2095  2619  3142  3404
Genesect              892   1338  1784  2231  2677  2900
Furfrou (Dandy)       552   827   1103  1379  1655  1793
Aegislash (Blade)     646   969   1292  1615  1938  2100
Hawlucha              633   950   1266  1583  1900  2058
Dedenne               478   717   955   1194  1433  1553
Carbink               373   559   746   933   1119  1213
Klefki                507   761   1015  1269  1523  1649
Avalugg (Hisuian)     922   1382  1843  2304  2765  2995
Xerneas               1011  1516  2021  2527  3032  3285
Yveltal               1011  1516  2021  2527  3032  3285
Zygarde (Complete)    992   1488  1984  2480  2976  3224
Zygarde (Complete_fi  908   1363  1817  2271  2726  2953
fty_percent)
Zygarde (Complete_te  623   935   1247  1559  1871  2027
n_percent)
Diancie               721   1081  1441  1802  2162  2342
Hoopa (Confined)      893   1340  1787  2234  2681  2904
Hoopa (Unbound)       1071  1607  2142  2678  3214  3481
Volcanion             969   1453  1937  2421  2906  3148
Decidueye (Hisuian)   767   1150  1534  1918  2301  2493
Oricorio (Baile)      612   918   1224  1530  1837  1990
Wishiwashi (School)   857   1285  1714  2143  2571  2785
Wishiwashi (Solo)     77    116   155   194   233   252
Comfey                552   828   1105  1381  1657  1795
Oranguru              644   966   1288  1611  1933  2094
Passimian             804   1206  1608  2010  2413  2614
Pyukumuku             349   523   697   872   1046  1133
Minior (Blue)         600   900   1200  1500  1801  1951
Komala                680   1020  1360  1701  2041  2211
Turtonator            582   873   1164  1455  1746  1891
Togedemaru            565   847   1130  1412  1695  1836
Mimikyu (Busted)      583   874   1165  1457  1748  1894
Bruxish               627   941   1255  1568  1882  2039
Drampa                771   1157  1543  1928  2314  2507
Dhelmise              781   1172  1562  1953  2344  2539
Tapu Koko             841   1262  1682  2103  2524  2734
Tapu Lele             931   1396  1862  2328  2793  3026
Tapu Bulu             910   1366  1821  2276  2732  2959
Tapu Fini             756   1134  1511  1890  2268  2457
Nihilego              1057  1586  2115  2644  3173  3437
Buzzwole              922   1384  1845  2306  2768  2998
Pheromosa             744   1115  1487  1859  2231  2417
Xurkitree             1050  1575  2100  2625  3151  3413
Celesteela            824   1236  1647  2060  2472  2678
Kartana               978   1467  1956  2445  2934  3179
Guzzlord              757   1136  1514  1893  2272  2461
Necrozma              1098  1648  2197  2746  3295  3570
(Dawn_wings)
Necrozma              984   1475  1967  2459  2951  3197
Necrozma (Ultra)      1258  1887  2516  3146  3775  4089
Magearna              965   1447  1930  2413  2895  3136
Marshadow             996   1495  1993  2491  2990  3239
Stakataka             875   1313  1750  2188  2626  2844
Blacephalon           873   1309  1746  2183  2619  2838
Zeraora               910   1366  1821  2276  2732  2959
Cramorant             560   840   1120  1400  1681  1821
Mr. Rime (Galarian)   748   1122  1496  1870  2244  2431
Falinks               619   928   1238  1547  1857  2012
Pincurchin            502   753   1005  1256  1507  1633
Stonjourner           855   1283  1711  2139  2567  2781
Eiscue (Ice)          539   808   1077  1347  1617  1751
Eiscue (Noice)        532   798   1064  1330  1596  1729
Indeedee (Female)     630   945   1260  1575  1890  2048
Indeedee (Male)       642   963   1284  1605  1927  2087
Morpeko (Full_belly)  505   757   1009  1262  1515  1641
Dracozolt             691   1037  1383  1728  2074  2247
Arctozolt             676   1014  1352  1691  2029  2198
Dracovish             658   987   1316  1645  1975  2139
Arctovish             644   965   1287  1609  1931  2092
Duraludon             814   1220  1627  2034  2441  2644
Zacian                1341  2011  2682  3353  4023  4359
(Crowned_sword)
Zacian (Hero)         1024  1536  2048  2560  3072  3328
Zamazenta             1119  1678  2237  2796  3356  3635
(Crowned_shield)
Zamazenta (Hero)      1024  1536  2048  2560  3072  3328
Eternatus             2232  3348  4463  5579  6696  7253
(Eternamax)
Eternatus             1190  1784  2379  2974  3569  3866
Zarude                1025  1538  2051  2564  3077  3333
Regieleki             739   1109  1479  1848  2218  2403
Regidrago             782   1173  1563  1954  2345  2541
Glastrier             1043  1564  2085  2607  3128  3389
Spectrier             900   1349  1799  2249  2699  2924
Calyrex (Ice_rider)   1136  1704  2272  2841  3409  3693
Calyrex               597   895   1194  1492  1791  1940
Calyrex               1219  1829  2438  3048  3658  3962
(Shadow_rider)
Wyrdeer               721   1082  1442  1803  2164  2344
Kleavor               835   1252  1670  2087  2505  2714
Enamorus (Incarnate)  911   1366  1822  2278  2733  2961
Enamorus (Therian)    902   1353  1804  2255  2706  2931
Squawkabilly (Blue)   512   769   1025  1282  1538  1666
Klawf                 632   947   1263  1579  1895  2053
Bombirdier            655   982   1309  1637  1964  2128
Palafin (Hero)        1274  1911  2548  3185  3822  4140
Palafin (Zero)        501   751   1001  1252  1503  1628
Cyclizar              618   926   1235  1544  1853  2008
Orthworm              603   904   1205  1507  1809  1959
Flamigo               728   1092  1456  1820  2184  2366
Veluza                640   960   1280  1600  1921  2081
Dondozo               793   1190  1586  1983  2380  2578
Tatsugiri (Curly)     725   1088  1450  1813  2176  2358
Farigiraf             753   1129  1506  1882  2259  2447
Great Tusk            1078  1617  2156  2696  3235  3505
Scream Tail           649   974   1299  1624  1949  2111
Brute Bonnet          948   1422  1896  2371  2845  3082
Flutter Mane          985   1478  1970  2463  2956  3202
Slither Wing          968   1452  1936  2420  2905  3147
Sandy Shocks          911   1367  1822  2278  2734  2962
Iron Treads           912   1368  1824  2280  2736  2964
Iron Bundle           895   1343  1790  2238  2686  2910
Iron Hands            1101  1652  2202  2753  3304  3579
Iron Jugulis          926   1389  1852  2315  2778  3010
Iron Moth             1028  1541  2055  2569  3083  3340
Iron Thorns           1005  1507  2009  2512  3015  3266
Gimmighoul            277   416   555   694   833   902
Gholdengo             938   1406  1875  2344  2813  3048
Wo-Chien              778   1167  1556  1945  2334  2528
Chien-Pao             885   1328  1770  2213  2656  2877
Ting-Lu               941   1412  1882  2353  2824  3059
Chi-Yu                920   1379  1839  2299  2759  2989
Roaring Moon          1130  1695  2260  2826  3391  3674
Iron Valiant          928   1393  1857  2321  2786  3018
Koraidon (Apex)       1064  1596  2127  2659  3191  3457
Miraidon (Ultimate)   1064  1596  2127  2659  3191  3457
Walking Wake          828   1242  1656  2070  2484  2691
Iron Leaves           860   1291  1721  2151  2582  2797
Okidogi               792   1187  1583  1979  2375  2573
Munkidori             778   1166  1555  1944  2333  2528
Fezandipiti           639   959   1279  1599  1919  2079
Ogerpon               736   1104  1471  1839  2207  2391
Archaludon            999   1499  1999  2499  2999  3248
Gouging Fire          823   1234  1645  2056  2468  2674
Raging Bolt           899   1348  1798  2247  2697  2922
Iron Boulder          831   1246  1661  2077  2492  2700
Iron Crown            819   1229  1638  2048  2458  2663
Terapagos             455   683   910   1138  1366  1479
Pecharunt             677   1015  1353  1692  2031  2200

