=== Tier 1 ===						=== Tier 2 ===						=== Tier 3 ===						=== No Evolution Line ===				
name	L20	L25	L30	L35		name	L20	L25	L30	L35		name	L20	L25	L30	L35		name	L20	L25	L30	L35
Milcery	410	512	615	666								Lycanroc (Midnight)	1449	1812	2174	2355						
Snom	251	314	376	408								Toxapex	867	1083	1300	1409						
Cufant	702	878	1053	1141								Mudsdale	1616	2020	2424	2626						
Dreepy	375	469	563	610								Araquanid	946	1183	1420	1538						
Kubfu	877	1096	1315	1425								Lurantis	1260	1575	1891	2048						
Sprigatito	509	636	764	827								Shiinotic	967	1209	1451	1572						
Fuecoco	568	710	852	923								Salazzle	1302	1627	1953	2116						
Quaxly	540	675	811	878								Bewear	1653	2066	2479	2686						
Lechonk	357	447	536	581								Golisopod	1680	2100	2521	2731						
Tarountula	273	342	410	444								Palossand	1285	1607	1928	2089						
Nymble	284	355	426	462								Silvally	1564	1955	2346	2542						
Pawmi	304	381	457	495								Naganadel	1684	2105	2526	2736						
Tandemaus	442	553	664	719								Melmetal	1921	2401	2882	3122						
Fidough	493	616	740	801								Greedent	1243	1554	1865	2020						
Smoliv	423	529	635	687								Thievul	1117	1397	1676	1816						
Nacli	482	603	724	784								Eldegoss	1039	1299	1559	1689						
Charcadet	358	447	537	582								Dubwool	1147	1434	1721	1864						
Tadbulb	452	565	678	735								Drednaw	1501	1877	2253	2440						
Wattrel	407	509	611	662								Boltund	1137	1422	1706	1849						
Maschiff	716	895	1074	1163								Flapple	1296	1620	1945	2107						
Shroodle	462	577	693	751								Appletun	1288	1610	1933	2094						
Bramblin	433	542	650	704								Sandaconda	1476	1845	2214	2398						
Toedscool	522	653	783	849								Barraskewda	1397	1747	2096	2271						
Capsakid	487	609	731	792								Toxtricity (Amped)	1370	1713	2055	2227						
Rellor	402	503	604	654								Centiskorch	1585	1981	2377	2575						
Flittle	341	427	512	555								Grapploct	1406	1758	2110	2285						
Tinkatink	426	532	639	692								Polteageist (Antique)	1621	2027	2432	2635						
Wiglett	273	341	410	444								Perrserker (Galarian)	1253	1567	1880	2037						
Finizen	432	540	648	702								Cursola	1623	2029	2435	2638						
Varoom	575	719	863	935								Sirfetch’d (Galarian)	1581	1976	2372	2569						
Glimmet	866	1082	1299	1407								Runerigus (Galarian)	1191	1489	1787	1935						
Greavard	509	637	764	828								Alcremie	1416	1770	2124	2301						
Cetoddle	657	822	986	1069								Frosmoth	1440	1800	2160	2340						
Frigibax	632	790	949	1028								Copperajah	1575	1969	2363	2560						
Poltchageist (Artisan)	575	719	863	935								Urshifu (Rapid_strike)	1924	2405	2887	3127						
												Sneasler	1711	2139	2567	2781						
												Overqwil	1561	1951	2342	2537						
												Oinkologne (Female)	1311	1639	1967	2131						
												Oinkologne	1374	1718	2062	2234						
												Spidops	872	1090	1308	1417						
												Lokix	1215	1519	1823	1975						
												Maushold (Family_of_four)	1034	1293	1552	1681						
												Dachsbun	1095	1368	1642	1779						
												Armarouge	1706	2133	2559	2773						
												Ceruledge	1685	2106	2528	2738						
												Bellibolt	1405	1756	2107	2283						
												Kilowattrel	1283	1604	1925	2085						
												Mabosstiff	1570	1963	2355	2552						
												Grafaiai	1186	1483	1780	1928						
												Brambleghast	1274	1593	1912	2071						
												Toedscruel	1273	1592	1910	2069						
												Scovillain	1214	1518	1822	1973						
												Rabsca	1384	1730	2076	2249						
												Espathra	1301	1627	1952	2115						
												Wugtrio	982	1228	1474	1597						
												Revavroom	1563	1954	2346	2541						
												Glimmora	1740	2176	2611	2828						
												Houndstone	1324	1655	1986	2152						
												Cetitan	1646	2057	2469	2675						
												Clodsire	1013	1266	1519	1646						
												Dudunsparce (Three)	1446	1807	2169	2349						
												Sinistcha (Masterpiece)	1567	1959	2351	2547						
